nama_mobo,harga_mobo,socket,form_factor,ram_slots
ASRock 760GM-HDV,74,AM3+,Micro ATX,2
ASRock 970 Extreme3 R2.0,305,AM3+,ATX,4
ASRock 970 Pro3 R2.0,139,AM3+,ATX,4
ASRock 970M PRO3,99,AM3+,Micro ATX,4
ASRock A320M-DVS R4.0,73,AM4,Micro ATX,2
ASRock A320M-HDV R4.0,80,AM4,Micro ATX,2
ASRock A320M-ITX,103,AM4,Mini ITX,2
ASRock A520M-HDV,60,AM4,Micro ATX,2
ASRock A520M-ITX/ac,104,AM4,Mini ITX,2
ASRock A520M/ac,159,AM4,Micro ATX,2
ASRock AB350M Pro4,177,AM4,Micro ATX,4
ASRock B250M-HDV,1008,1151,Micro ATX,2
ASRock B360M-HDV,140,1151,Micro ATX,2
ASRock B365 Phantom Gaming 4,109,1151,ATX,4
ASRock B365 Pro4,95,1151,ATX,4
ASRock B365M Phantom Gaming 4,102,1151,Micro ATX,4
ASRock B365M Pro4,69,1151,Micro ATX,4
ASRock B365M-HDV,71,1151,Micro ATX,2
ASRock B365M-ITX/ac,128,1151,Mini ITX,2
ASRock B450 Pro4,121,AM4,ATX,4
ASRock B450 Steel Legend,109,AM4,ATX,4
ASRock B450M Steel Legend,84,AM4,Micro ATX,4
ASRock B450M-HDV,119,AM4,Micro ATX,2
ASRock B450M-HDV R4.0,59,AM4,Micro ATX,2
ASRock B450M/AC,93,AM4,Micro ATX,4
ASRock B460 Pro4,114,AM4,ATX,4
ASRock B460 Steel Legend,119,1200,ATX,4
ASRock B460M Steel Legend,118,1200,Micro ATX,4
ASRock B550 Extreme4,144,AM4,ATX,4
ASRock B550 PG Velocita,159,AM4,ATX,4
ASRock B550 Phantom Gaming 4,99,AM4,ATX,4
ASRock B550 Phantom Gaming 4/ac,124,AM4,ATX,4
ASRock B550 Phantom Gaming-ITX/ax,169,AM4,Mini ITX,2
ASRock B550 Pro4,134,AM4,ATX,4
ASRock B550 Steel Legend,144,AM4,ATX,4
ASRock B550 Taichi,229,AM4,ATX,4
ASRock B550M Phantom Gaming 4,110,AM4,Micro ATX,4
ASRock B550M Pro4,89,AM4,Micro ATX,4
ASRock B550M Steel Legend,109,AM4,Micro ATX,4
ASRock B550M-HDV,80,AM4,Micro ATX,2
ASRock B550M-ITX/ac,119,AM4,Mini ITX,2
ASRock B550M/ac,114,AM4,Micro ATX,4
ASRock C236 WSI,212,1151,Mini ITX,2
ASRock C236M WS,206,1151,Micro ATX,4
ASRock C246 WS,240,1151,ATX,4
ASRock C246M WS,255,1151,Micro ATX,4
ASRock E3C222D4U,189,1150,Micro ATX,4
ASRock E3C224D4M-16RE,561,1150,ATX,4
ASRock E3C236D2I,289,1151,Mini ITX,2
ASRock E3C236D4U,269,1151,Micro ATX,4
ASRock E3C246D4U,239,1151,Micro ATX,4
ASRock EP2C612 WS,385,2011,SSI EEB,8
ASRock EP2C612D16C-4L,369,2011,SSI EEB,16
ASRock EP2C612D16SM,429,2011,SSI EEB,16
ASRock EP2C612D16SM-2T,554,2011,SSI EEB,16
ASRock EPC612D4I,289,2011,Mini ITX,4
ASRock Fatal1ty AB350 Gaming K4,255,AM4,ATX,4
ASRock Fatal1ty B250M Performance,114,1151,Micro ATX,4
ASRock Fatal1ty B360 Gaming K4,119,1151,ATX,4
ASRock Fatal1ty B450 GAMING K4,128,AM4,ATX,4
ASRock Fatal1ty B450 Gaming-ITX/ac,99,AM4,Mini ITX,2
ASRock Fatal1ty H270M Performance,129,1151,Micro ATX,4
ASRock Fatal1ty H370 Performance,229,1151,ATX,4
ASRock Fatal1ty X370 Gaming K4,429,AM4,ATX,4
ASRock Fatal1ty X370 Professional Gaming,354,AM4,ATX,4
ASRock Fatal1ty X399 Professional Gaming,433,TRX4,ATX,8
ASRock Fatal1ty X470 Gaming-ITX/ac,129,AM4,Mini ITX,2
ASRock Fatal1ty Z270 Gaming K6,761,1151,ATX,4
ASRock H110M-DGS,68,1151,Micro ATX,2
ASRock H270M Pro4,576,1151,Micro ATX,4
ASRock H310CM-DVS,86,1151,Micro ATX,2
ASRock H310CM-HDV,62,1151,Micro ATX,2
ASRock H310CM-HDV/M.2,89,1151,Micro ATX,2
ASRock H310CM-ITX/ac,115,1151,Mini ITX,2
ASRock H310M-HDV/M.2,153,1151,Micro ATX,2
ASRock H370 Pro4,161,1151,ATX,4
ASRock H370M Pro4,98,1151,Micro ATX,4
ASRock H410M-HDV,96,1200,Micro ATX,2
ASRock H410M-HVS,93,1200,Micro ATX,2
ASRock H410M-ITX/ac,144,1200,Mini ITX,2
ASRock H470 Phantom Gaming 4,100,1200,ATX,4
ASRock H470 Steel Legend,129,1200,ATX,4
ASRock H470M Pro4,104,1200,Micro ATX,4
ASRock H470M-ITX/ac,170,1200,Mini ITX,2
ASRock H61M-VG3,180,1155,Mini ITX,2
ASRock H87WSA-DL,390,1150,ATX,4
ASRock Q370M VPRO,159,1151,Micro ATX,4
ASRock TRX40 Creator,588,TRX4,ATX,8
ASRock TRX40 TAICHI,499,TRX4,ATX,8
ASRock X299 Killer SLI/ac,617,2066,ATX,8
ASRock X299 Steel Legend,408,2066,ATX,8
ASRock X299 Taichi CLX,399,2066,ATX,8
ASRock X370 GAMING X,229,AM4,ATX,4
ASRock X370 Gaming-ITX/ac,249,AM4,Mini ITX,2
ASRock X370 Killer SLI,219,AM4,ATX,4
ASRock X370 Pro4,127,AM4,ATX,4
ASRock X399 Phantom Gaming 6,249,TRX4,ATX,8
ASRock X399 Taichi,339,TRX4,ATX,8
ASRock X399D8A-2T,458,TRX4,ATX,8
ASRock X399M Taichi,199,TRX4,Micro ATX,4
ASRock X470 Master SLI,376,AM4,ATX,4
